,Depression (dep),Anxiety (anx)
V511,1.6841757,1.7816415
V312,0.5778404,0.52722657
V701,0.5439904,0.45357636
Contraceptive Use,0.44723567,0.5089074
Teenage Pregnancy (Age at 1st Birth),0.46356335,0.4481631
contra_decision3,0.43174857,0.3780968
V012,0.43942612,0.34939587
V212,0.3767419,0.41281164
Respondent's Current Age,0.3699326,0.27316916
age_dif_cat,0.30769885,0.30748868
V021,0.23947671,0.1905857
V730,0.23183464,0.18788378
age_dif,0.22200547,0.17909923
V005,0.18549424,0.17282233
Total Number of Children,0.0,0.34999827
V106,0.12629251,0.1305663
V190,0.110530995,0.09686883
V201,0.12901366,0.07233894
V023,0.05103966,0.13240801
V632,0.08258306,0.08607075
V025,0.07171283,0.056052994
V024,0.10976942,0.0
Wealth Index,0.0,0.035667323
