,Depression (dep),Anxiety (anx)
V511,1.0,1.0
V312,0.3430998321612169,0.29592180581783706
V701,0.32300097905462,0.25458340524735196
Contraceptive Use,0.2655516701731298,0.28563961941838467
Teenage Pregnancy (Age at 1st Birth),0.2752464306425986,0.2515450498879825
contra_decision3,0.25635601439921024,0.21221822684305455
V012,0.26091465397582925,0.19610896468228878
V212,0.2236951287208336,0.23170297728246672
Respondent's Current Age,0.21965202324199312,0.15332442581742736
age_dif_cat,0.18269997008031882,0.1725872909897979
V021,0.14219223683134724,0.10697196938890342
V730,0.1376546639403478,0.1054554353387031
age_dif,0.13181847357137383,0.10052484183827105
V005,0.11013948247798612,0.09700174249421109
Total Number of Children,0.0,0.19644707984182003
V106,0.0749877284181217,0.07328427183583229
V190,0.0656291353687148,0.05437055097784824
V201,0.07660344464060372,0.04060241075435209
V023,0.03030542478436187,0.0743179870922405
V632,0.0490347058207763,0.048309803066441816
V025,0.042580373294781544,0.031461432617055675
V024,0.06517694086193027,0.0
Wealth Index,0.0,0.020019360236051977
