V005,V012,V021,V023,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3,Total Number of Children,Wealth Index
0.2272126,-0.4658365,0.050164673,0.09423916,0.015805015,-0.11902288,0.007422815,0.15310016,-0.1773913,-0.8741001,-0.4304136,-0.18233992,-0.43434575,-0.04564109,0.32501975,0.051972535,-0.6098598,0.13211389,0.2879371,-0.058726586,-0.30904573,-0.048412103
-0.015665852,-0.061700575,-0.19376294,-0.13871345,0.022180682,-0.039883595,0.07362642,0.041640546,0.83766085,0.37772474,0.32272202,-0.032908384,-0.50675637,-0.080149524,0.17901327,-0.08052663,-0.4566402,-0.97466624,-1.0009522,0.014399149,-0.4644486,-0.10349259
-0.0027195972,-0.23779525,-0.18236595,-0.3585022,-0.046047956,0.11558229,0.028979806,-0.19665304,-0.48330852,0.09818511,-0.24858704,-0.023558121,-0.4312397,-0.12828112,0.17884924,0.009393774,-0.5719643,0.09147094,-1.0365968,-0.018758979,-0.4942122,0.036701452
-0.0045686564,0.32842192,-0.15067485,0.017372077,-0.042891953,0.0549261,0.09945854,-0.049739618,-0.38550496,-0.9937568,-0.09107379,-0.276737,-0.44582787,-0.005363082,-0.4043898,0.017552065,-0.3962534,0.1596455,0.2649113,-0.0499989,-0.28190482,-0.019940805
-0.18690975,-0.20507067,-0.034078885,-0.38720173,-0.02984932,-0.054457746,-0.03373417,-0.053503398,0.46684608,-0.48454434,-5.018421,-0.14460973,-0.3992355,-0.22502811,-0.3384804,-0.42055726,0.018843405,-0.590386,0.22045763,-0.8258205,-0.24143532,-0.04935498
-0.064898066,-0.29648128,0.16760151,0.14169993,0.020088203,-0.15814646,-0.011904566,-0.0808336,-0.097426206,0.4950445,-0.07230933,-0.016010799,-0.4305546,-0.15268068,0.2274632,-0.044153318,-0.5339291,0.09883925,-1.1125562,-0.057293743,-0.49280798,-0.0625906
-0.16532652,0.21932659,-0.44073698,0.04971823,-0.019448185,-0.0060562594,0.034211475,-0.52861834,-0.25785822,-0.4907325,-4.9856844,0.01199096,-0.5486466,-0.25493747,-0.28705308,-0.4014031,0.045872588,0.16364387,0.23301783,-0.8519321,-0.36044145,0.008486049
0.1837727,-0.6154526,0.03602317,0.0842368,-0.13757132,-0.13301268,-0.2584379,0.05416077,0.50309753,-0.4535963,-4.762709,0.04414832,-0.33806574,-0.32002637,0.24401991,-0.33607736,0.019436345,-0.6805037,0.20894134,-0.81402695,-0.19866984,-0.02888731
-0.21479388,-0.30375093,-0.23535231,0.019507091,-0.036865488,0.14594626,-0.0033853154,-0.065524384,-0.18708643,-0.816975,-0.35550553,-0.3192301,-0.3326423,-0.1490334,0.14282382,0.009332213,-0.58882135,0.17551678,0.34565523,-0.06655127,-0.3257741,0.045799743
-0.1693156,0.2191445,-0.2099541,0.029019663,-0.043746296,0.10760845,-0.0013480994,-0.035914615,-0.19499952,0.3214478,-0.27720633,-0.01622565,-0.45752695,0.012977941,-0.39502534,0.02547349,-0.453576,0.11681269,-1.0406129,-0.010630281,-0.38437206,0.0162581
