V005,V012,V021,V023,V024,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3
0.010173172,0.3772528,0.09348442,0.0036699842,0.11961699,-0.05869633,-0.066773355,-0.12669215,-0.0811108,-0.25007832,-0.5982253,-4.3495383,-0.049241085,-0.50563264,-0.32378763,-0.4080778,-0.41014096,-0.19701804,0.10486957,0.18808702,-0.82006234
0.044819847,-0.8392514,-0.1448918,-0.016356198,-0.22824605,0.14851063,-0.101178944,-0.06928032,0.18257582,0.24941,-0.8830913,0.49064553,-0.59311485,-0.39551607,-0.12401907,0.5131315,-0.033265594,-0.13087954,-0.9725992,0.2914456,0.11447549
-0.14736654,0.5054644,0.2402369,-0.028020456,-0.10347487,-0.08973279,0.12349015,0.0063866707,0.02513201,0.3137565,-0.6381231,-4.5264535,-0.047449883,-0.5715597,-0.32992455,-0.4483313,-0.41552696,-0.19431995,-0.65072227,0.15635815,-0.78039026
-0.1137314,0.43506843,-0.33478194,0.023347184,-0.061843324,-0.02263133,0.028365653,-0.012907867,-0.35618126,-0.5900274,0.2311357,-0.55125475,-0.48114178,-0.631091,0.16044965,-0.57995945,-0.06920191,-0.49296474,0.14672807,-0.90092385,0.1921452
0.06048513,-1.113407,0.26052108,-0.02335112,-0.2235822,0.11509381,0.11192932,-0.119793594,0.30642185,0.13348202,-0.62101984,-4.577007,0.022136563,-0.6422365,-0.34289205,0.4122681,-0.8951624,-0.1177918,-0.5553453,0.14270376,-0.7801897
0.29576606,0.36618394,-0.10939665,0.038112357,-0.015469464,-0.05514215,-0.075018734,0.05435653,-0.19202276,-0.39350054,-0.66325265,-4.4146705,-0.04168983,-0.54345137,-0.2935079,-0.45314127,-0.40988076,-0.18009515,0.08471681,0.18069482,-0.82302374
-0.046627436,0.41959935,-0.040819153,0.047036525,0.013268096,0.08944078,-0.0067930794,-0.084975086,0.010743392,-0.25267887,-0.5921082,-4.4810686,-0.07127789,-0.6343555,-0.23946792,-0.41030967,-0.41077098,-0.18973885,0.033790886,0.1868425,-0.7980934
-0.10971683,-0.047729477,-0.055526458,0.0067052078,0.06351337,-0.036103014,-0.065194,0.029171012,-0.17283517,-0.16379209,-0.6054385,-4.735206,-0.031808704,-0.5297925,-0.30653778,0.1155443,-0.3901773,-0.14210244,0.1109018,0.17540318,-0.89856845
-0.0074898023,0.4046724,-0.35536143,0.03521348,0.06549191,-0.04655226,0.0125048645,0.03560539,-0.52330065,-0.27338177,0.21714278,0.01726402,-0.08387385,-0.5310914,0.4212883,-0.6797336,0.075552784,-0.34794766,0.16518456,-0.88047594,-0.09281524
0.06578626,-0.5952345,0.123110406,-0.037761256,-0.16676034,0.1717283,-0.18332021,0.06782081,0.107987046,0.508366,-0.8666351,0.11658171,-0.027178332,-0.5347256,-0.15152901,0.43836167,0.084226474,-0.23166227,-1.0815811,0.09687638,-0.2904899
0.039999463,0.3989343,-0.029633796,-0.21174188,-0.26409945,-0.10000817,0.012757872,0.04995824,-0.089334495,-0.5161566,0.349437,0.0448768,-0.09655149,-0.394789,0.3093743,-0.59418356,-0.022721685,-0.4279912,0.080677286,-0.95077455,-1.030319
