Feature,Chi2_Score,P_value
V005,1322211.5387410403,0.0
V730,4661.468676788175,0.0
V511,1912.961099237729,0.0
V021,716.5950656035764,7.363051303816843e-158
V312,382.4495048983706,3.6447688153467186e-85
V012,347.36094655597384,1.591611294087066e-77
age_dif_cat,230.1056395318145,5.653330654242419e-52
age_dif,168.72162745128205,1.4072842714184843e-38
V632,162.12708182085953,3.8808347506950474e-37
contra_decision3,121.33524688271703,3.2271867812326444e-28
V201,40.48967589288306,1.9765769197377411e-10
age_cat,33.33358179187674,7.763044666279217e-09
V701,28.131617380739126,1.1333907048144119e-07
contra,25.504641316388945,4.413199919274085e-07
parity_cat,18.291841772443206,1.895170481412812e-05
V023,17.494720892883695,2.881065630963073e-05
V171A,16.867951751466705,4.007250694872401e-05
V106,16.58648857550975,4.648098745951501e-05
internet_use,10.685643518177825,0.0010797016907482832
V024,9.152651541666613,0.0024835791796700077
V212,8.744192223875748,0.0031058965342393254
V190,3.3487573331727645,0.0672557678881665
age_fb_cat,1.230850467432942,0.2672417061510458
wealth_cat,0.5664066480430034,0.4516903623529569
V025,0.10452815962896968,0.7464618826295827
