Feature,MI_Score
V511,0.013381450976662768
V005,0.010259366101690315
V632,0.010164209266281254
V021,0.009786835053289034
age_dif_cat,0.007014108873967473
contra_decision3,0.0069636106170991585
V730,0.0064336667462536745
age_fb_cat,0.004124132549379267
age_cat,0.0038584462649495777
V025,0.0029111608173999493
V701,0.0029096247548399123
age_dif,0.0026678071266239556
contra,0.002639333619187001
wealth_cat,0.0025679117479999736
V312,0.0024693861074003287
V106,0.0024406866707611385
V012,0.002227207768414896
V190,0.0020333084641175336
V171A,0.0017727951192401115
V201,0.001693411731949812
V212,0.0015795793383923673
V023,0.0014985323063101408
internet_use,0.000710792501150026
parity_cat,0.0001311648514006336
V024,0.0
