Feature,RF_Importance
V511,0.17838319392645202
V021,0.09263438869944683
V005,0.09056362668226216
V730,0.08213220242671045
V012,0.0740407468057324
age_dif,0.063956952228063
V212,0.05218347926439695
V023,0.03315081761804039
V312,0.032989882830327624
V190,0.030863429035512164
V201,0.02842542505325286
V701,0.026833411532728044
V106,0.026760796343176393
age_dif_cat,0.02664157863042179
V632,0.02345850898650536
V024,0.023178461899471852
contra_decision3,0.01895480962502519
wealth_cat,0.014828434602692907
V171A,0.014059868808071502
parity_cat,0.01348603333705655
age_cat,0.013085184673911657
internet_use,0.012294458666648552
contra,0.00986036809081425
V025,0.008832453701429302
age_fb_cat,0.008401486531849868
