Feature,Chi2_Score,P_value
V005,681322.8531481131,0.0
V730,6934.160133884667,0.0
V511,3051.111962881673,0.0
V021,1002.3447590140478,5.553929902845201e-220
V312,363.3487815583761,5.252978800640701e-81
age_dif_cat,362.5474283201986,7.850442305734055e-81
V012,331.1091089792441,5.510907883704578e-74
V632,291.6760880117712,2.144645298262481e-65
age_dif,218.60702476870466,1.820670274234932e-49
contra_decision3,204.5857969091326,2.0852758881653685e-46
V701,47.00731163017352,7.072237561748786e-12
contra,38.862971382628665,4.5462291608391916e-10
age_cat,31.907461828065486,1.6169481520116e-08
V201,28.6753370736864,8.558681550523839e-08
V023,23.433589145382996,1.2930103661568102e-06
V171A,19.516808755939977,9.97183496178105e-06
V106,18.488671432361624,1.7091721300992756e-05
internet_use,14.395662628917405,0.00014814314115296003
parity_cat,13.640431870437352,0.00022136651183095793
V024,12.50905001334822,0.00040498547638693566
V190,5.101117549553324,0.02391043372611369
wealth_cat,3.0871932073396158,0.07891081463499525
age_fb_cat,2.214425403419568,0.13672595934877585
V212,0.9071109358468421,0.34088213627615993
V025,0.04531558280804553,0.8314247975033493
