Feature,MI_Score
V511,0.020019732602003737
V005,0.015884550500294248
V021,0.014604314877851188
V632,0.012380472280598243
contra_decision3,0.009606028417239232
age_dif_cat,0.00914607055109129
V730,0.008630732646092376
age_dif,0.005916505277644202
V025,0.004318951475786426
V024,0.0041856589073649975
age_fb_cat,0.0035161449832250558
V106,0.0031418008564292332
age_cat,0.0029928343916183486
V312,0.002683522195647825
V201,0.002613353955567943
V212,0.0023036774656182146
parity_cat,0.0018624976238890145
V701,0.0018308164487785827
contra,0.001645164152610512
wealth_cat,0.0014596518206375642
V023,0.001287443825015222
V012,0.0008446037601612666
V171A,0.00015879899090265326
V190,0.0
internet_use,0.0
