Feature,RF_Importance
V511,0.17933795916187403
V021,0.09518898875806041
V005,0.09230803203401956
V730,0.08474784913107962
V012,0.06972282455643855
age_dif,0.06594477282018114
V212,0.051510768480575786
V312,0.03347628253983117
V023,0.030967885526899303
V190,0.030620076539374663
age_dif_cat,0.030428136470498815
V701,0.02774071915304766
V201,0.027514835589579345
V632,0.025375654782557114
V106,0.02385777736890176
V024,0.02068338706694918
contra_decision3,0.017105320314301495
wealth_cat,0.015192000318127421
V171A,0.014201817816256188
parity_cat,0.013200811568537918
internet_use,0.01215214310634371
age_cat,0.011848256246831609
contra,0.009750989455510863
V025,0.008889096460140352
age_fb_cat,0.008233614734082476
