Feature,Chi2_Score,P_value
V005,1188101.5719922318,0.0
V730,5146.297798682958,0.0
V511,2205.120871577993,0.0
V021,1450.8096046366834,0.0
V312,309.2422112314021,3.1937764575957537e-69
age_dif_cat,282.54816747189153,2.0908126373829594e-63
V632,223.64052100524157,1.4531887446541885e-50
age_dif,178.18764330541111,1.2054304329392783e-40
V012,177.52471484540476,1.682270239648151e-40
contra_decision3,143.69767946519622,4.137034454732896e-33
contra,46.758709212698676,8.028733584964257e-12
V701,43.24874139379978,4.82047694536849e-11
V023,35.60290620522801,2.419263433721188e-09
V024,19.516630945901557,9.972763203449034e-06
age_cat,17.33321020144835,3.1365713652367015e-05
V106,12.477975928800564,0.00041177812897248326
V171A,10.232812966349417,0.0013796409884602955
V201,9.062895723380954,0.00260848549937607
internet_use,6.40247072188867,0.01139616585449068
V190,5.40412106990799,0.02008926201756406
parity_cat,4.585131175560292,0.03225050264024611
wealth_cat,2.636677623049563,0.10442170928030066
age_fb_cat,1.551063270839776,0.21297854193559948
V212,0.7688402019961068,0.3805760844083078
V025,2.5342079595504295e-06,0.9987298324789593
