Feature,MI_Score
V511,0.015729174928254874
V005,0.013540183735679445
V021,0.01315720845965962
V632,0.007791480037305787
contra_decision3,0.007621656167180024
V730,0.007443139433263024
age_dif,0.0070475386933235296
age_dif_cat,0.006777615057226294
V025,0.004256809347528812
age_fb_cat,0.003273172953292214
V023,0.002979140861909535
V106,0.0026675142562082588
V312,0.002650889369346876
V701,0.002389348403192937
age_cat,0.0023508915838363897
wealth_cat,0.0019996796055317123
contra,0.0017072578134238459
V024,0.0014724192069901498
V201,0.0012439922384805957
V190,0.0006113990172635919
parity_cat,0.00023596312687446108
V171A,0.0
V012,0.0
V212,0.0
internet_use,0.0
