Feature,RF_Importance
V511,0.16823683156760807
V021,0.09669490793793466
V005,0.09595482619189229
V730,0.08539900382380772
V012,0.0685051554013744
age_dif,0.06774587921826115
V212,0.0533404647878796
V312,0.03513412443793213
age_dif_cat,0.03091999077387249
V023,0.029894888588426323
V190,0.02963359310542626
V201,0.029600575239366347
V701,0.027435681426740806
V632,0.025384228664755135
V106,0.02507192570919023
V024,0.019794198161230403
contra_decision3,0.017539529262908776
wealth_cat,0.015434208099287482
parity_cat,0.014226677071235814
V171A,0.013431535964363816
internet_use,0.01163870152865022
age_cat,0.011630013733156076
contra,0.009832712108715185
V025,0.009049049457776126
age_fb_cat,0.008471297738208363
