Feature,MeanAbsSHAP
Division_2.0,0.04210120366567061
age_at_First_Birth_2.0,0.029754369176128084
age_at_First_Birth_1.0,0.026500551126521905
Wealth_Index_2.0,0.02348661423314646
Internet_Use_0.0,0.020359840182774976
Internet_Use_1.0,0.020164012282783934
Wealth_Index_1.0,0.018096369780677017
Division_4.0,0.01731445624515585
Respondent_Age_3.0,0.016191146729828708
Spousal_Age_Gap_2.0,0.015050165319702102
Spousal_Age_Gap_3.0,0.014921445674671846
Parity_1.0,0.014579889350332453
Respondent_Age_1.0,0.014560676198132153
Contraceptive_Use_1.0,0.014174789014841066
Contraceptive_Use_0.0,0.013523479348705594
Residence_1.0,0.013284278930695748
Respondent_Age_2.0,0.01294353357187462
Respondent_Education_2.0,0.012772354599309005
Residence_2.0,0.012651262632668948
Division_5.0,0.012285173063347615
Division_7.0,0.012065015869688712
Spousal_Age_Gap_4.0,0.0119330719116983
Respondent_Education_1.0,0.011827090180067243
Division_6.0,0.011287172650288873
Wealth_Index_3.0,0.010818753366616453
Parity_2.0,0.010308627073024478
Division_1.0,0.010059063896800434
Division_8.0,0.010003900054277643
Respondent_Education_3.0,0.008877153598340832
Division_3.0,0.008077156315831047
contra_decision_maker_0.0,0.007410896309298145
contra_decision_maker_2.0,0.007386347865719569
Respondent_Education_0.0,0.00673808394209165
contra_decision_maker_1.0,0.005867528839259857
Parity_3.0,0.005321515182775716
Spousal_Age_Gap_1.0,0.0038432463420920147
