Feature,MeanAbsSHAP
Spousal_Age_Gap_2.0,0.037756445685598536
Division_4.0,0.033553273304851076
Parity_2.0,0.03148680195945787
age_at_First_Birth_2.0,0.026703008639903613
age_at_First_Birth_1.0,0.024761257554404517
Wealth_Index_1.0,0.023139572105962635
Division_6.0,0.017183197427998897
Wealth_Index_3.0,0.016124056487203876
Spousal_Age_Gap_3.0,0.014835739037863267
Contraceptive_Use_1.0,0.01349933957758486
Residence_2.0,0.012988485932161484
Residence_1.0,0.012981816983441226
Contraceptive_Use_0.0,0.012720102951272138
Respondent_Age_3.0,0.012530844633834172
Division_7.0,0.012280827448837187
Division_5.0,0.011943345751036305
Respondent_Education_2.0,0.011910717257986227
Division_8.0,0.011215788962982396
Internet_Use_0.0,0.011147011611969463
Internet_Use_1.0,0.010848048001628112
contra_decision_maker_0.0,0.010769198575263962
Division_3.0,0.010727844057085172
Parity_1.0,0.01072260410743068
Respondent_Education_1.0,0.010461198843624479
Division_2.0,0.010370452199824177
Respondent_Age_2.0,0.010129985040048063
Wealth_Index_2.0,0.009277141883167382
contra_decision_maker_2.0,0.009263042620187345
Respondent_Education_0.0,0.009244917090918186
contra_decision_maker_1.0,0.00924027433420183
Parity_3.0,0.008054464640829715
Spousal_Age_Gap_4.0,0.007814298700257662
Division_1.0,0.007052138669656521
Respondent_Age_1.0,0.005919515984868978
Respondent_Education_3.0,0.004804438640278186
Spousal_Age_Gap_1.0,0.001547840490520316
